seed,learning_rate,num_cells,num_layers,embd_size,drop_prob,training_steps,valid_steps,n_max_train,n_test,init_scheme,init_scale,converged,steps_to_converge,final_train_mean_acc,final_loss,success_n,elapsed_sec,fp_row,fp_len,fp_counter_cell,fp_corr,fp_corr_sign,fp_fg_a,fp_ig_a,fp_og_a,fp_fg_b,fp_ig_b,fp_og_b,fp_code,config_id,cfg_init_scale,cfg_init_scheme,cfg_learning_rate,cfg_num_cells,cfg_num_layers
0,0.1,4,1,4,0.1,2000,50,10,100,xavier_uniform,1.0,True,100,100.0,0.251274436712265,22,4.225656270980835,8,18,2,0.9412404298782349,1,0.9977235794067383,0.8849599361419678,0.9557862281799316,0.9959211349487305,0.9839652180671692,0.995400607585907,cell2_sign1_fgH,44,1.0,xavier_uniform,0.1,4,1
1,0.1,4,1,4,0.1,2000,50,10,100,xavier_uniform,1.0,True,950,100.0,0.3887869417667389,17,35.229180097579956,8,18,1,-0.8670828938484192,-1,0.9391502141952515,0.8055154085159302,0.02525404654443264,0.5540812611579895,0.0019531050929799676,0.9935908913612366,cell1_sign-1_fgM,44,1.0,xavier_uniform,0.1,4,1
2,0.1,4,1,4,0.1,2000,50,10,100,xavier_uniform,1.0,True,650,100.0,0.28488484025001526,12,24.648123264312744,8,18,3,-0.895248293876648,-1,0.976084291934967,0.8137288689613342,0.9974026083946228,0.5855591297149658,0.002298613777384162,0.9994489550590515,cell3_sign-1_fgM,44,1.0,xavier_uniform,0.1,4,1
3,0.1,4,1,4,0.1,2000,50,10,100,xavier_uniform,1.0,True,250,100.0,0.43043044209480286,10,9.856030464172363,8,18,1,0.8580012917518616,1,0.9919788837432861,0.5887266993522644,0.963620662689209,0.20215196907520294,0.31852972507476807,0.651492714881897,cell1_sign1_fgL,44,1.0,xavier_uniform,0.1,4,1
4,0.1,4,1,4,0.1,2000,50,10,100,xavier_uniform,1.0,True,200,100.0,0.24402384459972382,13,8.176278114318848,8,18,0,0.9413936138153076,1,0.9967319369316101,0.922399640083313,0.11145690083503723,0.9882245063781738,0.8322780728340149,0.9966279864311218,cell0_sign1_fgH,44,1.0,xavier_uniform,0.1,4,1
0,0.1,4,2,4,0.1,2000,50,10,100,xavier_uniform,1.0,True,100,100.0,0.29277053475379944,30,6.641146898269653,8,18,2,0.552925705909729,1,0.9879989624023438,0.7491658329963684,0.9957430362701416,0.00028542266227304935,0.9769923090934753,0.00014467444270849228,cell2_sign1_fgL,45,1.0,xavier_uniform,0.1,4,2
1,0.1,4,2,4,0.1,2000,50,10,100,xavier_uniform,1.0,True,50,100.0,0.28985604643821716,38,3.653167724609375,8,18,3,0.9409916400909424,1,0.9991307854652405,0.9889746308326721,0.271422415971756,0.9997872114181519,0.9978365898132324,0.9994359612464905,cell3_sign1_fgH,45,1.0,xavier_uniform,0.1,4,2
2,0.1,4,2,4,0.1,2000,50,10,100,xavier_uniform,1.0,True,1100,100.0,0.24445103108882904,10,79.52162313461304,8,18,1,-0.5652111172676086,-1,0.9981699585914612,0.05506623908877373,0.6553853750228882,0.6143409013748169,0.9970149993896484,0.0001835591101553291,cell1_sign-1_fgM,45,1.0,xavier_uniform,0.1,4,2
3,0.1,4,2,4,0.1,2000,50,10,100,xavier_uniform,1.0,True,200,100.0,0.33533865213394165,17,15.209974765777588,8,18,1,-0.6126042604446411,-1,0.9545553922653198,0.9823389649391174,0.9869235157966614,0.8421161770820618,0.5553569197654724,0.9266332387924194,cell1_sign-1_fgH,45,1.0,xavier_uniform,0.1,4,2
4,0.1,4,2,4,0.1,2000,50,10,100,xavier_uniform,1.0,True,150,100.0,0.2100905030965805,50,11.720698595046997,8,18,0,-0.4000813663005829,-1,0.015931986272335052,0.7561064958572388,0.9844791293144226,0.7216166853904724,0.9938561916351318,0.9959859251976013,cell0_sign-1_fgL,45,1.0,xavier_uniform,0.1,4,2
